condition,variant,spectral_radius,spectral_radius_sem,lambda2_ratio,lambda2_ratio_sem,bulk95_ratio,bulk95_ratio_sem,mean_ratio,mean_ratio_sem,participation_ratio,participation_ratio_sem,n_critical,n_critical_sem
undirected_gaussian,connectome,12.258149017554064,0.12123703209427768,0.9705520520473894,0.006244639783726785,0.7306831857055853,0.0072316155492066145,0.2893329790355459,0.0033321065145442705,187.50026513731774,0.5047371927731137,3.0,0.31622776601683794
undirected_gaussian,connectome_weight_permuted,12.407851273491602,0.24951016414627603,0.9655156725407051,0.009034761072311088,0.7213911012412355,0.01506426048840123,0.28572341778134835,0.005203708259206392,186.40557993554208,0.7205563531885953,4.1,0.5907622195096772
undirected_gaussian,random_gaussian,9.544939619737132,0.06588000195638243,0.9789293468690049,0.006044683186441201,0.8546704135429316,0.003911069085957623,0.39581934409487773,0.0023100326438165166,210.30434298686387,0.30869955817513994,9.3,0.6640783086353597
undirected_gaussian,erdos_renyi,9.382100643785924,0.0813838935694039,0.9862562847363531,0.004610826319339751,0.8630544701312113,0.006046196570754991,0.3998454132465123,0.0027748022047485344,209.9884866840661,0.18654266717576345,10.3,0.8252272414311103
undirected_gaussian,degree_rewire,12.09878828517266,0.1842560463844776,0.9727845686256554,0.007160906679794694,0.7345158563138606,0.011990155779064426,0.2923135090741044,0.0047682450271461785,185.95143776590663,0.7508753775399521,4.1,0.41109609582188933
undirected_gaussian,clustering_rewire,12.926337297605645,0.15481415594101539,0.9573823693273914,0.00941523541142251,0.6735331203975192,0.007964923626539807,0.2765166291549895,0.00374419127807117,190.2572768271578,0.6394289449857965,3.3,0.317804971641414
undirected_gaussian,modularity_rewire,12.115214272097303,0.13618517810153125,0.9741200591025339,0.008298355648663124,0.7415697294001574,0.008987336379808442,0.29216897281801246,0.0036860850921633143,186.66804229549973,0.7082951708556491,3.8,0.39496835316262996
undirected_empirical_signed,connectome,230.64531684280942,2.2662531901059673,0.9414964887137194,0.011953727927107362,0.4804232501159098,0.006667657973744767,0.1550359231736254,0.0014913822513877508,140.74341637069148,0.16268258201673447,1.9,0.09486832980505137
undirected_empirical_signed,connectome_weight_permuted,157.7577675104638,2.946235077893916,0.9590885639773747,0.007923125585104563,0.6820768750028089,0.014796331676015415,0.24981280594351082,0.0047155617889996625,170.08805065903218,0.6873111457024542,3.0,0.19999999999999998
undirected_empirical_signed,random_gaussian,132.82034807807918,2.563636694031231,0.9827403592680343,0.004486671058752625,0.765694969396795,0.015597612512399479,0.31650536191937184,0.004786585077653285,191.80975425198454,0.6878923667010574,4.7,0.8006247560499237
undirected_empirical_signed,erdos_renyi,128.544970963528,2.210567216213657,0.9859264182522534,0.0024160155327588475,0.7786101844130506,0.011467069472885144,0.32439267725215387,0.004805423859274793,191.81452329616815,0.5321341843319688,5.5,0.7106335201775947
undirected_empirical_signed,degree_rewire,150.50993052264968,3.574059815120404,0.9713603434704311,0.0072525068273048155,0.7227921616694208,0.01908233568403067,0.2603125546768876,0.0072797966531240755,167.96499152817896,1.222986419270431,4.1,0.4785394445602159
undirected_empirical_signed,clustering_rewire,161.12727666087432,3.139572292783106,0.9630185649389048,0.0073965781695844975,0.654366050566096,0.014767847285418483,0.24527582875834408,0.0051898943725166525,171.8025750188471,1.2780958953984967,3.1,0.3301514803843836
undirected_empirical_signed,modularity_rewire,152.30357484847121,4.044481059579445,0.9661565198855607,0.006351886381067072,0.7119587189335214,0.01694786399525437,0.2584688553308626,0.0063632065916191345,169.59056504788708,0.9828175599829722,3.2,0.5440588203494177
undirected_empirical,connectome,316.9655388619989,0.0,0.8575138862382149,0.0,0.3391631539598302,1.7554167342883506e-17,0.10672550927344257,0.0,126.19824409586833,4.4938668397781774e-15,1.0,0.0
undirected_empirical,connectome_weight_permuted,221.21954809157222,1.085046313130712,0.7248388177003353,0.00860458870320361,0.4818836211139164,0.0027124941458886594,0.17360519153793386,0.0012031450272582949,162.56247026483416,0.913191569133414,1.0,0.0
undirected_empirical,random_gaussian,165.9928010141699,1.3852040919222828,0.7887008990890025,0.013504459817758463,0.607582463418908,0.004928962836109118,0.2512181792595166,0.0014544933679758731,189.69427437925907,0.6750742871695954,1.0,0.0
