variant,rung,n_edges,n_edges_sem,density,density_sem,clustering_global,clustering_global_sem,clustering_directed_mean,clustering_directed_mean_sem,modularity_q,modularity_q_sem,reciprocity,reciprocity_sem,mean_path_length,mean_path_length_sem,global_efficiency,global_efficiency_sem
connectome,,3669.0,0.0,0.04090301003344481,0.0,0.251994851994852,0.0,0.2453974791944155,0.0,0.43995484624702885,0.0,0.36467702371218313,0.0,3.0774272938825735,0.0,0.3471400877704153,0.0
random_gaussian,0,3652.3,21.49281275217369,0.04071683389074693,0.00023960772298967325,0.07937124065433802,0.0006610248158171123,0.04052344903731835,0.000347487084055334,-0.0016243220234658802,0.0018604480743447634,0.041093817524020734,0.0010394242815005954,2.554804905239688,0.004484038452765176,0.42202675585278904,0.000762457673219962
erdos_renyi,1,3669.0,0.0,0.04090301003344481,0.0,0.07953354903016169,0.0003831968331468702,0.040663206280744525,0.0002168185282745325,-0.0023001492917500387,0.00252523838972207,0.041591714363586815,0.0007710913445519544,2.5512764771460423,0.0007895168935114964,0.42260680044588234,0.00010607700040008756
degree_rewire,2,3669.0,0.0,0.04090301003344481,0.0,0.1346346919623323,0.0006062854962784698,0.0774027589680588,0.00036458236571037064,-0.002863360348773791,0.002261063595572777,0.06895611883346961,0.0017362342118978453,2.5886682366122455,0.001689724448587,0.4111791527312838,0.00016277535900519082
clustering_rewire,3,3669.0,0.0,0.04090301003344481,0.0,0.17764425768399267,0.00044354449508922665,0.23323843155730403,1.6384939821591824e-05,0.13256863747079556,0.002320328083342321,0.1759607522485691,0.001289499377492935,2.772830615063287,0.014039363307327099,0.39509511201351516,0.0007833881106749522
modularity_rewire,4,3669.0,0.0,0.04090301003344481,0.0,0.19577627832239458,0.000713309344378545,0.15167690302522566,0.0005794821984459219,0.4399548462470289,1.7554167342883506e-17,0.1411283728536386,0.002573520167795995,2.79113998902264,0.004029265351929907,0.3706118538867021,0.00028093829746479477
