condition,topology,symmetric,n_edges,frac_negative,weight_mean_abs,weight_max_abs,spectral_radius,frac_real_eigenvalues
v2a,undirected,True,6000,0.5213333333333333,0.8001641829246467,3.899421730054339,11.861795848409987,1.0
v2b,directed,False,3669,0.0,5.665849005178523,75.0,105.14131814048318,0.17333333333333334
v2d,directed,False,3669,0.035704551648950665,5.665849005178523,75.0,103.94066897773538,0.18
