condition,variant,spectral_radius,spectral_radius_sem,lambda2_ratio,lambda2_ratio_sem,bulk95_ratio,bulk95_ratio_sem,mean_ratio,mean_ratio_sem,participation_ratio,participation_ratio_sem,n_critical,n_critical_sem
human_gaussian,connectome,11.566890745751655,0.10306494978338641,0.978171873484116,0.004516195566388161,0.802784438779066,0.006009592782480509,0.3444656462137699,0.0025722476689011412,297.8430429508753,0.4820255354659979,8.5,0.7516648189186454
human_gaussian,connectome_weight_permuted,11.715704437097779,0.08785153891238273,0.969628104735931,0.0061443306520236685,0.7907626789814234,0.006090969592438357,0.34058838822888193,0.002691971678695826,298.7653161680573,0.694041848842009,6.5,0.6363961030678927
human_gaussian,random_gaussian,10.265688050044414,0.08028334318348487,0.9814402813321955,0.004897850607621168,0.8578628151795081,0.005238608801723364,0.3981542915800467,0.0017511758539398598,314.9120549878031,0.26371670179416984,13.5,1.1335784048754634
human_gaussian,erdos_renyi,10.327859277658067,0.05552541966425988,0.9844252575914961,0.003376645262691764,0.8520531717661493,0.004682429561497774,0.3960817857331372,0.001794088543635219,314.2076844360127,0.3275934702072343,13.4,0.8024961059095552
human_gaussian,degree_rewire,11.423872553700086,0.06764224043680896,0.9799498946147678,0.0033084813288471915,0.8093549331511436,0.004102996315202524,0.348258157272749,0.0018955106461451808,297.16232161271205,0.487247237608922,8.6,0.4289522117905443
human_gaussian,clustering_rewire,11.84439585036466,0.10944468077545384,0.9714580450039734,0.005231664260221066,0.779604235175916,0.005562303857221106,0.33815469847977064,0.0032414327257218687,300.8400995510313,0.5671260873842741,6.6,0.7238784428341543
human_gaussian,modularity_rewire,11.389303729358875,0.08096617956067786,0.9836107447752788,0.004851929403319482,0.8146452967907092,0.0056374950502770275,0.34933535928737725,0.002220888760392364,297.1168857329617,0.40172930468274043,9.0,0.6928203230275508
human_empirical_signed,connectome,0.1467473010337555,0.0004927467389648534,0.9333028384817533,0.008870802614525629,0.40228970825176324,0.003076684511345431,0.15030438511861346,0.0005294266748267916,243.0298514389107,0.3633882078103084,1.9,0.17029386365926402
human_empirical_signed,connectome_weight_permuted,0.11605965555954165,0.0015159823004064132,0.991011514057095,0.002161469055803926,0.5068656807562577,0.007872567952696212,0.19504540925791863,0.0030109839859719188,255.03218304540323,1.3416507454699655,2.3,0.20248456731316586
human_empirical_signed,random_gaussian,0.10529151865376514,0.002812290065036336,0.9974293800633701,0.0013401265228541231,0.5559979720396377,0.015194146377163927,0.22249151744661222,0.005412675978618973,269.01537923022113,2.245562455001472,3.6,0.6196773353931867
human_empirical_signed,erdos_renyi,0.10400070911718992,0.003125489523081262,0.9989246506632898,0.00023417697651985475,0.5656123457012913,0.01702220222231944,0.22695911630698418,0.0060606600466516485,270.70838113363004,1.481664547686464,3.8,0.5253570214625479
human_empirical_signed,degree_rewire,0.1076060832893158,0.004259661551465598,0.9949303119132951,0.0014832479713270627,0.5601818298856405,0.02394522578853229,0.21412801319174565,0.008167335632685197,254.20170942527216,1.971474859510365,4.0,0.4898979485566356
human_empirical_signed,clustering_rewire,0.10906312888576786,0.0037741529020058956,0.9827409543829868,0.007330095927945149,0.5636702632857469,0.02099685969113253,0.21065576765088748,0.007090886863621488,254.71060641107147,1.7982408992836756,3.3,0.4909175083453431
human_empirical_signed,modularity_rewire,0.11119294403920196,0.0021738566557041603,0.9922544109704472,0.003090413654888762,0.5385616210924417,0.009660518727068291,0.20392320637098987,0.0038144358846074716,252.00507209896045,1.415033139884593,3.4,0.3794733192202055
human_empirical,connectome,0.18886210172328094,8.777083671441753e-18,0.7598017433752167,3.510833468576701e-17,0.32489983063372385,0.0,0.10762040302185276,0.0,206.42056129138717,0.0,1.0,0.0
human_empirical,connectome_weight_permuted,0.11871587047399745,0.002236329522261617,0.9483328397406849,0.006476052491015749,0.5120032723959285,0.009689816014070788,0.18625372520537103,0.0036927439644678746,242.5021401429106,1.4315381900182467,2.8,0.23664319132398462
human_empirical,random_gaussian,0.10698046924034206,0.002525670416056901,0.9807753552037951,0.0046681960356263754,0.545698618528288,0.013125555928529733,0.21784114973818097,0.00446956171401407,267.1036796797554,2.2167246530908375,3.5,0.4743416490252569
human_empirical,erdos_renyi,0.10603187828074065,0.002757888647042029,0.9787636602278909,0.0051789880913845395,0.5508752575864522,0.013426119230783379,0.22141137094967892,0.004824525394415908,269.033104729048,1.4555706340867527,3.5,0.32403703492039304
human_empirical,degree_rewire,0.11388100597676407,0.0030222110146194375,0.9366688686937911,0.01420501396018752,0.5238173722351354,0.016022780809093997,0.19975000950546978,0.0052705715143070864,251.88640816011963,1.9734606963100139,2.6,0.4289522117905444
human_empirical,clustering_rewire,0.12200098182089816,0.003032510547407206,0.9471073090600945,0.009747274348456608,0.48879357525071576,0.011325830946770124,0.1832577142175457,0.0038212765223560375,244.28857341038847,1.8488333126052365,2.9,0.3860051813123756
human_empirical,modularity_rewire,0.11635626861741581,0.001730779048417747,0.9501220847181824,0.008842879971440586,0.5149891049685271,0.005275700793786863,0.1923964787562052,0.0025467939430790917,246.46603679785954,1.3258624800485173,2.9,0.35916569992135944
